word,axis_projection_softball_minus_football,beta_before,beta_after
architect,-0.1301349252462387,0.43274613586224536,0.43274613586224536
vice_chancellor,-0.13367778062820435,-0.03639023726513799,-0.03639023726513799
cameraman,-0.133879154920578,0.11899310172905363,0.11899310172905363
policeman,-0.13474321365356445,0.09558702293434714,0.09558702293434714
financier,-0.13627496361732483,0.6138025750019939,0.6138025750019939
midfielder,-0.14306584000587463,-0.004418415476403798,-0.004418415476403798
gangster,-0.1436644047498703,0.13327198718174102,0.13327198718174102
boss,-0.14468154311180115,0.15156545939113278,0.15156545939113278
banker,-0.151124969124794,0.05451888722761811,0.05451888722761811
broadcaster,-0.15583811700344086,0.09936000378770356,0.09936000378770356
sportsman,-0.15603092312812805,0.07424226690220195,0.07424226690220195
statesman,-0.15652385354042053,0.1433267143010244,0.1433267143010244
philosopher,-0.16318857669830322,0.21034012300226007,0.21034012300226007
hitman,-0.16358453035354614,0.10407322100535796,0.10407322100535796
marksman,-0.1648939549922943,0.17857286830211389,0.17857286830211389
cleric,-0.1659783124923706,0.06786149839507635,0.06786149839507635
maestro,-0.1804581880569458,0.4225870769308007,0.4225870769308007
pundit,-0.19320762157440186,0.07804913203330245,0.07804913203330245
businessman,-0.19598117470741272,0.17457309199005008,0.17457309199005008
footballer,-0.3378576338291168,0.013893618906861254,0.013893618906861254
