word,abs_cos_to_gender_dir
businesswoman,0.3883214805452283
actress,0.36525417734141746
housewife,0.3513133310530427
registered_nurse,0.3193763552221467
waitress,0.2985254930128124
receptionist,0.28986758132680496
ballerina,0.27081616339958076
socialite,0.26963075985569374
maestro,0.2563963677421162
hairdresser,0.25467836197458
maid,0.2510107859172254
paralegal,0.24325663605004985
stylist,0.24177881620041566
nun,0.23609311334924846
businessman,0.23178319006458167
protege,0.23046964189278
bookkeeper,0.2273406023520748
interior_designer,0.2257188495956047
housekeeper,0.2207749507600498
nanny,0.2162093087304452
statesman,0.20026266011715435
marksman,0.2001860941766735
skipper,0.19789837774014596
sportsman,0.19485282467148674
financier,0.1943457747549774
philosopher,0.19317909216346618
fashion_designer,0.18903589393127665
dancer,0.1873523114654216
magician,0.18539145280959618
guidance_counselor,0.1699510597405411
salesman,0.16415869613208112
lieutenant,0.16271031576429698
major_leaguer,0.1592679773737546
gangster,0.15652917422861484
captain,0.15649102137569668
trumpeter,0.15593180434102258
warrior,0.15568049165874812
architect,0.15331050894440842
mechanic,0.15256813350168777
industrialist,0.15131276985348094
publicist,0.1504601037097134
vocalist,0.14935310252757383
coach,0.14755908007776383
educator,0.14640704428606746
soloist,0.1462441339492718
valedictorian,0.14507431260245982
graphic_designer,0.14426959262515504
boss,0.1438452429184387
swimmer,0.14337604295203543
clerk,0.14179696581936055
